id,title,type,genres,providers,vote_count,vote_average
920,카,movie,"애니메이션,모험,코미디,가족",Disney Plus,14693,7.014
295832,Fratelli unici,movie,"로맨스,코미디",기타,300,6.002
927,그렘린,movie,"판타지,공포,코미디",기타,6720,7.138
929,고질라,movie,"SF,액션,스릴러",기타,4084,5.643
942,리썰 웨폰 2,movie,"액션,모험,코미디,범죄,스릴러",기타,3588,7.023
132019,Demonium,movie,"공포,스릴러",기타,6,5.2
948,할로윈,movie,"공포,스릴러",Cultpix,5984,7.56
949,히트,movie,"범죄,드라마,액션","Disney Plus, Netflix",7924,7.922
950,아이스 에이지 2,movie,"애니메이션,가족,코미디,모험",Disney Plus,10110,6.716
947,아라비아의 로렌스,movie,"모험,역사,전쟁",기타,3262,8.0
953,마다가스카,movie,"가족,애니메이션,모험,코미디","Amazon Prime Video, Watcha, wavve",11363,6.9
956,미션 임파서블 3,movie,"모험,액션,스릴러",Disney Plus,7361,6.751
966,황야의 7인,movie,"서부,액션,모험","Watcha, wavve",1896,7.502
263115,로건,movie,"액션,드라마,SF",Disney Plus,19959,7.8
979,돌이킬 수 없는,movie,"드라마,스릴러,범죄","Netflix, wavve",3132,7.184
984,더티 해리,movie,"액션,범죄,스릴러",기타,2616,7.5
1442776,Kuang Bao Ju Xi,movie,"액션,스릴러,공포",기타,28,6.25
33754,Scared Stiff,movie,"음악,코미디,공포",기타,41,6.4
992,셜록 2세,movie,"액션,코미디,미스터리",기타,1097,8.1
197603,Captain Boycott,movie,"드라마,역사",기타,8,6.7
1278950,리추얼,movie,"공포,드라마,스릴러",기타,240,5.915
263148,Ilusión Nacional,movie,다큐멘터리,기타,22,7.8
1180660,Joyeux Noel,movie,"TV 영화,코미디,로맨스,드라마",기타,14,5.5
328694,Taçsız Kral,movie,드라마,기타,4,6.5
33786,슈퍼스타 마야,movie,"코미디,드라마",기타,9,6.3
1018,멀홀랜드 드라이브,movie,"스릴러,드라마,미스터리",기타,6740,7.804
427023,타이거 걸,movie,액션,기타,43,5.547
164883,Alle Kätzchen naschen gern,movie,코미디,기타,8,3.9
427028,타이거 밀크,movie,"드라마,코미디",wavve,24,6.063
590869,Hammamet,movie,"드라마,역사",기타,408,5.9
1410082,스나이퍼: 최후의 전쟁,movie,"액션,스릴러",기타,167,6.778
427048,Sexuellement vôtre,movie,"드라마,코미디",기타,6,4.333
1279028,Stodderprinsessen,movie,"코미디,드라마",기타,0,0.0
1089,폭풍 속으로,movie,"액션,스릴러,범죄","Netflix, TVING",3807,7.162
492611,더 터닝,movie,"공포,스릴러",기타,1002,5.713
1091,괴물,movie,"공포,미스터리,SF",wavve,7555,8.071
1508426,Tricky & The Cereal Killers,movie,"드라마,애니메이션",기타,0,0.0
1147978,Two-Eleven,movie,드라마,기타,0,0.0
164952,Zona J,movie,"범죄,드라마,로맨스",기타,18,6.5
656483,노라의 특별한 여름,movie,"드라마,로맨스","TVING, Watcha, wavve",42,6.036
1311844,메가 트위스터스,movie,"액션,모험,드라마",기타,81,5.8
1180791,Holiday Road,movie,"TV 영화,드라마,로맨스",기타,19,7.395
33914,Frankenweenie,movie,"가족,판타지,SF,공포,드라마",기타,430,6.93
984193,Another Coffeehouse Chronicles Movie,movie,"코미디,로맨스",기타,2,1.0
99460,ÜnOfficially Yours,movie,"로맨스,코미디",기타,7,6.9
1377413,St. Patrick's Day Massacre,movie,공포,기타,3,4.667
33927,단판 승부,movie,범죄,기타,79,4.051
1180831,트롤의 습격 2,movie,"판타지,액션,모험",기타,0,0.0
296096,미 비포 유,movie,"드라마,로맨스",Watcha,12891,7.925
1246369,반란: 무로마치 부라이,movie,"액션,드라마",Watcha,19,8.4
328875,Echte Männer?,movie,코미디,기타,0,0.0
66736,Deadly Skies,movie,"액션,모험,SF,스릴러,TV 영화",기타,26,4.135
66741,Total Reality,movie,"액션,SF",기타,15,4.5
1180879,Soul Mates,movie,"공포,스릴러",기타,12,5.7
459990,불청객이 왔다,movie,드라마,기타,2,5.5
1246,록키 발보아,movie,드라마,기타,3677,6.877
263390,You Can't Beat the Law,movie,"범죄,드라마",기타,6,5.2
1250,고스트 라이더,movie,"스릴러,액션,판타지",Watcha,6248,5.6
984294,Astrakan,movie,드라마,기타,11,5.545
1265,비밀의  숲 테라비시아,movie,"모험,드라마,가족",기타,5056,7.3
296178,러브 인 베를린,movie,"코미디,드라마,로맨스","Watcha, wavve",56,5.875
