id,title,type,genres,providers,vote_count,vote_average,weighted_score
65958,Le Souper,movie,"드라마,역사",기타,39,6.654,6.407619953637014
423,피아니스트,movie,"드라마,전쟁",Watcha,9776,8.38,7.913439223825661
424,쉰들러 리스트,movie,"드라마,역사,전쟁","Watcha, wavve",16867,8.6,8.266343377949033
425,아이스 에이지,movie,"애니메이션,코미디,가족,모험",Disney Plus,13907,7.366,7.194323861760178
429,석양의 무법자,movie,서부,Watcha,9260,8.463,7.956413401890078
33201,예레미야,movie,"모험,드라마,TV 영화",기타,42,6.8,6.4098620537933435
435,투모로우,movie,"SF,스릴러,모험",Disney Plus,8553,6.546,6.509036356651499
131507,Scandali... nudi,movie,코미디,기타,1,2.0,6.402984273731672
440,에이리언 VS 프레데터 2,movie,"액션,SF,스릴러,공포",Disney Plus,3155,5.2,5.789313527916194
441,휴먼 네이쳐,movie,"드라마,코미디",기타,279,6.011,6.371193436532312
623034,컨저링: 저주받은 집,movie,"공포,스릴러,미스터리",기타,75,6.4,6.404333435580799
524736,쿤티라낙: 거울 귀신의 집으로,movie,"공포,코미디",기타,63,5.9,6.3941415770207035
33217,윔피 키드,movie,"코미디,가족",Disney Plus,1701,6.256,6.350986376927574
453,뷰티풀 마인드,movie,"드라마,로맨스","Netflix, Watcha",10715,7.9,7.570941303434012
786892,퓨리오사: 매드맥스 사가,movie,"액션,SF,모험",기타,4498,7.5,7.059684499914246
295377,"Io, Amleto",movie,코미디,기타,0,0.0,6.404440961442163
467,더 홀,movie,"범죄,드라마,공포,스릴러",기타,863,6.207,6.360588905202565
66006,타이거 클로스,movie,액션,기타,41,5.4,6.390998580119821
360920,그린치,movie,"가족,코미디,애니메이션","Amazon Prime Video, Netflix",4273,6.9,6.6946876542100835
229862,Ang Panday,movie,"공포,액션,판타지",기타,0,0.0,6.404440961442163
489,굿 윌 헌팅,movie,드라마,Netflix,13265,8.157,7.831765775808289
497,그린 마일,movie,"판타지,드라마,범죄",기타,18553,8.5,8.20642592790259
295410,Obietnica,movie,드라마,기타,24,4.313,6.3879653548398485
66035,The Kentuckian,movie,서부,기타,53,5.726,6.392749788677032
500,저수지의 개들,movie,"범죄,스릴러",기타,14965,8.118,7.8300569976014085
503,포세이돈,movie,"모험,액션,드라마,스릴러",기타,2227,5.868,6.176870475856271
507,킬링 조이,movie,"액션,범죄,드라마,스릴러",기타,358,6.2,6.382790998655588
508,러브 액츄얼리,movie,"코미디,로맨스,드라마",기타,7101,7.103,6.894431452255629
509,노팅 힐,movie,"로맨스,코미디","Watcha, wavve",6481,7.265,6.991301006992622
510,뻐꾸기 둥지 위로 날아간 새,movie,드라마,기타,11049,8.4,7.971351036844075
511,약속의 땅,movie,"드라마,역사",기타,78,7.282,6.426517206364924
66043,The Incident,movie,"스릴러,범죄,드라마",기타,79,7.354,6.4286269183824745
1147400,"미라큘러스 월드: 파리, 셰이디버그와 블랙클로",movie,"애니메이션,액션,판타지,가족,TV 영화",Disney Plus,615,7.26,6.549088203775863
524,카지노,movie,"범죄,드라마","Amazon Prime Video, wavve",6255,7.993,7.47545467039483
534,터미네이터 4: 미래전쟁의 시작,movie,"액션,SF,스릴러",기타,6798,6.1,6.193701326808451
1147416,미라클 월드 런던: 시간의 끝에서,movie,"애니메이션,모험,액션,판타지",Disney Plus,287,7.4,6.490773280775648
539,싸이코,movie,"공포,스릴러,미스터리","Watcha, wavve",10629,8.421,7.974513774946166
544,메리에겐 뭔가 특별한 것이 있다,movie,"로맨스,코미디",Disney Plus,5150,6.618,6.539016133183453
550,파이트 클럽,movie,"드라마,스릴러","Disney Plus, wavve",31011,8.438,8.257395081626836
553,도그빌,movie,"범죄,드라마,스릴러",기타,2578,7.759,7.027955085179281
66092,로즈 가든,movie,드라마,기타,40,5.838,6.3970427904574825
557,스파이더맨,movie,"액션,SF","Watcha, wavve",20043,7.316,7.196545992736156
131631,헝거게임: 모킹제이,movie,"SF,모험,스릴러","FilmBox+, Watcha, wavve",16389,6.8,6.738407099366105
559,스파이더맨 3,movie,"액션,모험,SF","Watcha, wavve",14783,6.447,6.439775365618406
1507887,WrestleMania IV,movie,"액션,드라마",기타,0,0.0,6.404440961442163
562,다이 하드,movie,"액션,스릴러",Disney Plus,11790,7.8,7.51522779593421
131634,헝거게임: 더 파이널,movie,"액션,모험,SF","FilmBox+, Watcha, wavve",13031,6.9,6.806695273960674
564,미이라,movie,"모험,액션,판타지","Amazon Prime Video, wavve",9598,6.952,6.820861072378103
561,콘스탄틴,movie,"판타지,액션,공포","Netflix, Watcha, wavve",7702,7.116,6.91545561140323
33340,Engelen,movie,드라마,기타,17,5.941,6.401849009756246
262716,Enter Achilles,movie,"음악,드라마",기타,0,0.0,6.404440961442163
578,죠스,movie,"공포,스릴러,모험","Netflix, Watcha",11138,7.7,7.423461099816045
426563,홈즈 & 왓슨,movie,"코미디,미스터리,범죄",Netflix,892,4.279,5.9201275353944425
581,늑대와 춤을,movie,"모험,드라마,서부",기타,4508,7.8,7.239856485546316
